,id,object_name,address,chain,object_type,number,street
2811,14597,BELLA COCO CAFE,1001 WILSHIRE BLVD,False,Restaurant,28,WILSHIRE BLVD
2812,14598,POUR VOUS,5574 MELROSE AVE,False,Restaurant,38,MELROSE AVE
2813,14599,BRASIL KISS COFFEE BAR,1010 WILSHIRE BLVD #111,True,Cafe,12,WILSHIRE BLVD
2814,14600,YUM YUM DONUTS #63-B,6600 E OLYMPIC BLVD STE 106,True,Fast Food,26,E OLYMPIC BLVD 
2815,14601,ILONGGO RESTAURANT,4627 SANTA MONICA BLVD # C,True,Restaurant,22,SANTA MONICA BLVD
2816,14602,JUN WON RESTAURANT,414 S WESTERN AVE # B,True,Restaurant,33,S WESTERN AVE
2817,14603,BURGER KING #5180,3101 N SAN FERNANDO RD,True,Fast Food,137,N SAN FERNANDO RD
2818,14604,TAMALES LUPITA,3027 N SAN FERNANDO RD STE 104,False,Restaurant,22,N SAN FERNANDO RD 
2819,14605,PANADERIA-LA AUETZALTECA,1610 W 6TH ST,False,Restaurant,18,W 6TH ST
2820,14606,THE BELMONT,747 N LA CIENEGA BLVD,False,Restaurant,88,N LA CIENEGA BLVD
2821,14607,V'VALERIO'S FAMILY BAKESHOP,4627 SANTA MONICA BLVD STE B,False,Restaurant,25,SANTA MONICA BLVD 
2822,14608,YOSHINOYA #2129,3081 N SAN FERNANDO RD,True,Restaurant,32,N SAN FERNANDO RD
2823,14609,LA MORENITA OAXAQUENA,3550 W 3RD ST,False,Restaurant,46,W 3RD ST
2824,14610,W-HOTEL LIVING ROOM  BAR,6250 W HOLLYWOOD BLVD,False,Bar,91,W HOLLYWOOD BLVD
2825,14611,BANQUET ROOM 3RD FLOOR,5151 E STATE UNIVERSITY DR,False,Restaurant,209,E STATE UNIVERSITY DR
2826,14612,PHO 24,3450 W 6TH ST # 109B,False,Restaurant,9,W 6TH ST
2827,14613,KING TACO #102,4504 E 3RD ST,True,Fast Food,217,E 3RD ST
2828,14614,SUSHI STOP,5917 FRANKLIN AVE,True,Restaurant,22,FRANKLIN AVE
2829,14615,SUBWAY #10107,6238 WILSHIRE BLVD,True,Fast Food,12,WILSHIRE BLVD
2830,14616,LA MAYORDOMIA,5892 S BROADWAY,False,Restaurant,5,S BROADWAY
2831,14617,SUBWAY #39684,1234 W WILSHIRE BLVD # #102,True,Fast Food,10,W WILSHIRE BLVD
2832,14618,TACOS LA FONDA,2135 1/2 N SAN FERNANDO RD,False,Fast Food,22,1/2 N SAN FERNANDO RD
2833,14619,MODAN EAGLEROCK RAMEN,1757 COLORADO BLVD,True,Restaurant,10,COLORADO BLVD
2834,14620,RAUL'S GRILL,1011 S ALVARADO ST # #702,False,Restaurant,25,S ALVARADO ST
2835,14621,TOP VALUE MARKET,4831 E WHITTIER BLVD,False,Restaurant,28,E WHITTIER BLVD
2836,14622,ROLL ROLL ROLL,635 S HOBART BLVD STE #C,False,Restaurant,45,S HOBART BLVD 
2837,14623,EL ATACOR RESTAURANT #8,6506 WHITTIER BLVD,True,Fast Food,2,WHITTIER BLVD
2838,14624,EAGLE CAFE,1888 CENTURY PARK E # 3RD,False,Restaurant,90,CENTURY PARK E
2839,14625,POINT-POINT JOINT #3,4627 SANTA MONICA BLVD STE A,False,Restaurant,49,SANTA MONICA BLVD 
2840,14626,CALIFORNIA DONUTS,3540 W 3RD ST,True,Fast Food,2,W 3RD ST
2841,14627,INDOCHINE VIEN,3110 GLENDALE BLVD,False,Restaurant,15,GLENDALE BLVD
2842,14628,WET BAR AND KITCHEN AT POOL LEVEL,6250 HOLLYWOOD BLVD,False,Restaurant,37,HOLLYWOOD BLVD
2843,14629,GOLFO DE FONSECA,1618 W 6TH ST,False,Restaurant,48,W 6TH ST
2844,14630,CHOO-CHOO BURBGER SHOP,4014 EAGLE ROCK BLVD,False,Restaurant,3,EAGLE ROCK BLVD
2845,14631,DON LECHO,5974 S BROADWAY,False,Restaurant,48,S BROADWAY
2846,14632,LUPE'S TACO STAND,4642 E 3RD ST,False,Fast Food,23,E 3RD ST
2847,14633,CAFE 47',5151 STATE UNIVERSITY DR,False,Restaurant,27,STATE UNIVERSITY DR
2848,14634,FRANKLIN & CO TAVERN,5923 FRANKLIN AVE,False,Restaurant,13,FRANKLIN AVE
2849,14635,THE KIM BAP,400 S WESTERN AVE # 102,False,Restaurant,44,S WESTERN AVE
2850,14636,TIERRA CAFE,818 WILSHIRE BLVD STE #D,False,Restaurant,2,WILSHIRE BLVD 
2851,14637,LOFT BAR AT POOL LEVEL,6250 HOLLYWOOD BLVD,False,Bar,123,HOLLYWOOD BLVD
2852,14638,PITA KITCHEN,6256 WILSHIRE BLVD,False,Restaurant,48,WILSHIRE BLVD
2853,14639,TAQUERIA DON LUPE,5300 S BROADWAY,False,Restaurant,17,S BROADWAY
2854,14640,SIN JUNG,3450 W 6TH ST STE 101A,False,Restaurant,75,W 6TH ST 
2855,14641,W-HOTEL-STATION BAR,6250 W HOLLYWOOD BLVD,False,Bar,110,W HOLLYWOOD BLVD
2856,14642,DELPHINE,6250 HOLLYWOOD BLVD,False,Restaurant,172,HOLLYWOOD BLVD
2857,14643,EL BUEN GUSTO,3140 N GLENDALE BLVD,True,Restaurant,43,N GLENDALE BLVD
2858,14644,YUMMY FOODS MARKET,1135 N MANSFIELD AVE,True,Restaurant,2,N MANSFIELD AVE
2859,14645,COMPARI'S PIZZA,5490 W CENTINELA AVE,False,Pizza,37,W CENTINELA AVE
2860,14646,RAJI'S,5851 W SUNSET BLVD,False,Restaurant,16,W SUNSET BLVD
2861,14647,EL VENADO,1007 S ALVARADO ST,False,Restaurant,86,S ALVARADO ST
2862,14648,KEUNGAMA TOFU RESTAURANT,3020 WILSHIRE BLVD STE 119,True,Restaurant,145,WILSHIRE BLVD 
2863,14649,TROIS FAMILIA,3510 W SUNSET BLVD,False,Restaurant,47,W SUNSET BLVD
2864,14650,CARLYLE INN,1119 S ROBERTSON BLVD,False,Restaurant,44,S ROBERTSON BLVD
